Num_Acc,an,mois,jour,hrmn,lum,agg,int,atm,col,com,gps,lat,long,dep
202000000001,20,3,7,16:55,1,2,3,1,3,91657,M,"48,7053500","2,4384100",91
202000000002,20,3,7,08:35,2,2,9,7,6,91657,M,"48,6900000","2,4100000",91
202000000003,20,3,7,13:30,1,2,2,1,3,91174,M,"48,6106700","2,4758200",91
202000000004,20,3,7,18:50,5,2,1,1,6,91215,M,"48,6978200","2,5244600",91
202000000005,20,3,7,11:00,1,1,6,1,2,77181,M,"48,8286457","2,7059707",77
202000000006,20,3,5,07:00,2,1,2,2,3,76114,M,"49,5763988","0,5101875",76
202000000007,20,3,6,20:29,5,2,1,1,2,68297,M,"47,5824950","7,5563270",68
202000000008,20,3,7,10:20,1,2,3,8,3,64024,M,"43,4938100"," -1,5230700",64
202000000009,20,3,6,08:15,1,2,2,1,6,62757,M,"50,7570746","2,2325420",62
202000000010,20,3,4,04:05,3,1,1,1,1,62540,M,"50,4582925","2,5756715",62
202000000011,20,3,5,11:50,1,2,3,1,-1,59143,M,"50,6785000","2,8742000",59
202000000012,20,3,7,05:00,4,2,1,1,6,56260,M,"47,6581100"," -2,7513900",56
202000000013,20,3,7,06:15,5,1,1,1,6,54578,M,"48,6700750","6,1583190",54
202000000014,20,3,7,13:20,1,2,7,1,2,51454,M,"49,2556464","4,0611947",51
202000000015,20,3,3,20:20,5,2,1,9,6,48095,M,"44,5225800","3,5027900",48
202000000016,20,3,7,17:00,1,2,1,1,4,35238,M,"48,0980371"," -1,6554889",35
202000000017,20,3,7,13:45,1,2,1,1,6,35238,M,"48,0914000"," -1,6562500",35
202000000018,20,3,7,01:40,5,2,2,1,3,35238,M,"48,0952700"," -1,6377600",35
202000000019,20,2,26,13:45,1,1,1,2,7,31483,M,"43,1195210","0,7267790",31
202000000020,20,3,7,14:55,1,2,2,1,3,26281,M,"45,0468000","5,0813300",26
202000000021,20,3,7,15:15,1,2,9,8,6,22113,M,"48,7325070"," -3,4539630",22
202000000022,20,3,7,18:20,1,2,1,1,6,17300,M,"46,1692600"," -1,1786400",17
202000000023,20,3,7,21:10,5,2,1,1,7,13216,M,"43,3481000","5,3447000",13
202000000024,20,3,7,03:00,5,2,1,1,2,13201,M,"43,2926210","5,3748760",13
202000000025,20,3,7,14:45,1,2,1,1,2,06069,M,"43,6243000","6,9655000",06
202000000026,20,3,7,13:15,1,2,1,1,1,06027,M,"43,6650200","7,1709100",06
202000000027,20,3,6,19:00,3,2,1,1,1,06123,M,"43,6896700","7,1857100",06
202000000028,20,3,7,13:45,1,2,3,1,6,75113,M,"48,8288150","2,3415200",75
202000000029,20,3,2,15:15,1,2,4,1,7,75117,M,"48,8769570","2,2899270",75
202000000030,20,3,5,20:00,5,2,3,2,3,75116,M,"48,8602800","2,2846160",75
202000000031,20,3,4,20:00,3,2,3,2,3,75117,M,"48,8891650","2,2975300",75
202000000032,20,3,6,20:40,5,2,1,1,3,75114,M,"48,8344810","2,3342120",75
202000000033,20,3,7,10:10,1,2,1,1,6,75110,M,"48,8827260","2,3502880",75
202000000034,20,3,7,15:40,1,2,5,1,7,75107,M,"48,8622650","2,3015450",75
202000000035,20,3,6,21:00,5,2,7,1,3,75104,M,"48,8571810","2,3473270",75
202000000036,20,3,7,15:00,1,2,1,1,3,94044,M,"48,7514083","2,4909836",94
202000000037,20,3,7,13:45,1,2,2,1,2,94033,M,"48,8596000","2,4900000",94
202000000038,20,3,7,20:00,5,2,3,1,1,94019,M,"48,8015510","2,5406760",94
202000000039,20,3,6,23:00,5,2,1,8,3,94017,M,"48,8102450","2,5181890",94
202000000040,20,3,7,11:20,1,2,1,1,1,93072,M,"48,9551100","2,3826900",93
202000000041,20,3,7,19:45,5,2,3,1,6,93050,M,"48,8574900","2,5325100",93
202000000042,20,3,7,15:00,1,2,1,1,3,93046,M,"48,9207400","2,5406000",93
202000000043,20,3,7,06:15,2,2,9,1,2,93045,M,"48,8784300","2,4115900",93
202000000044,20,3,7,12:45,1,2,1,1,6,93027,M,"48,9356023","2,3873517",93
202000000045,20,3,7,16:45,1,2,1,1,5,93014,M,"48,9056990","2,5403170",93
202000000046,20,3,7,15:00,1,2,1,1,3,93005,M,"48,9559990","2,4805460",93
202000000047,20,3,7,02:40,5,2,9,1,7,92025,M,"48,9229320","2,2553440",92
202000000048,20,3,7,23:56,5,2,1,1,1,54322,M,"49,4404070","5,6117390",54
202000000049,20,3,7,14:15,1,2,1,1,1,91666,M,"48,6854520","2,2197910",91
202000000050,20,3,8,05:00,3,1,1,1,2,66141,M,"42,7516680","2,8952940",66
202000000051,20,3,6,06:45,5,2,1,2,6,56117,M,"47,8899890"," -2,8306960",56
202000000052,20,3,8,13:50,1,1,1,1,3,65127,M,"43,1129670","0,3214140",65
202000000053,20,3,7,17:07,1,1,1,1,6,49218,M,"47,2965077"," -1,1239525",49
202000000054,20,3,7,05:15,3,2,1,1,6,49069,M,"47,3402130"," -1,1675200",49
202000000055,20,3,7,14:50,1,2,6,1,6,68042,M,"47,6077150","7,5031630",68
202000000056,20,3,7,12:50,1,1,1,2,6,44015,M,"47,4897890"," -1,6841270",44
202000000057,20,3,8,06:30,2,2,1,1,6,31476,M,"43,2728150","1,1344540",31
202000000058,20,3,8,03:10,5,1,1,1,6,38174,M,"45,3902810","5,3502350",38
202000000059,20,3,7,11:05,1,2,1,1,1,38012,M,"45,5979430","5,6308460",38
202000000060,20,3,8,15:30,1,1,1,1,6,84020,M,"43,8253860","5,3558240",84
202000000061,20,3,8,03:30,3,1,1,1,6,03306,M,"46,1219515","3,4653947",03
202000000062,20,3,6,08:55,1,2,1,2,3,72029,M,"48,2260770","0,1282900",72
202000000063,20,3,8,11:00,1,2,1,1,4,06079,M,"43,5324820","6,9492720",06
202000000064,20,3,6,18:15,1,1,1,1,2,60581,M,"49,4950021","2,4429560",60
202000000065,20,3,8,18:30,1,1,1,1,6,60058,M,"49,6185414","2,3435797",60
202000000066,20,3,8,03:30,5,2,1,1,6,60577,M,"49,4492870","1,7687900",60
202000000067,20,3,7,12:30,1,2,6,1,3,64108,M,"43,5197970"," -0,9154590",64
202000000068,20,3,8,11:00,1,1,1,1,6,16125,M,"45,4828155","0,3402236",16
202000000069,20,3,7,21:55,5,2,2,1,1,07055,M,"44,8629760","4,8350730",07
202000000070,20,3,4,01:00,3,1,9,8,6,40217,M,"44,3381610"," -1,0042190",40
202000000071,20,3,7,03:30,5,2,1,8,6,28386,M,"48,5708930","1,2501300",28
202000000072,20,3,7,04:15,3,1,1,2,6,17465,M,"45,9579190"," -0,5421390",17
202000000073,20,3,7,18:00,1,1,1,1,5,17385,M,"45,9326020"," -1,3147870",17
202000000074,20,3,7,15:00,1,2,3,1,3,17396,M,"46,2250300"," -0,8790780",17
202000000075,20,3,7,15:50,1,2,1,1,3,37159,M,"47,2777185","0,6221262",37
202000000076,20,3,6,09:50,1,2,1,1,-1,30075,M,"43,8208860","4,2607860",30
202000000077,20,3,8,15:15,1,1,3,1,6,48063,M,"44,7096430","3,3819650",48
202000000078,20,2,25,19:00,2,1,1,6,6,40210,M,"44,0930410"," -0,9976960",40
202000000079,20,3,6,17:20,1,1,1,2,7,33284,M,"44,6312700"," -0,9210300",33
202000000080,20,3,8,06:45,2,1,1,1,2,62384,M,"50,1322553","3,1079444",62
202000000081,20,3,8,11:10,1,2,1,1,1,98822,C," -20,9345770","165,3292610",988
202000000082,20,3,5,17:10,1,1,3,1,7,97112,A,"15,8705970"," -61,2842110",971
202000000083,20,3,8,04:50,3,1,1,1,6,30027,M,"44,0643770","4,0683910",30
202000000084,20,3,7,16:15,1,2,1,1,3,88321,M,"48,3642900","5,6924410",88
202000000085,20,3,8,03:30,3,2,1,1,1,88132,M,"48,2011590","6,5283410",88
202000000086,20,3,8,13:30,1,2,1,6,6,55427,M,"48,8234540","4,9845180",55
202000000087,20,3,8,11:00,1,2,1,1,6,01043,M,"45,8335350","4,9937050",01
202000000088,20,3,8,06:10,2,2,1,1,6,69197,M,"46,0628600","4,6513170",69
202000000089,20,3,8,01:05,5,2,1,1,1,69272,M,"45,6017000","4,8349000",69
202000000090,20,3,8,07:45,2,1,1,2,6,49264,M,"47,0923610"," -1,0038650",49
202000000091,20,3,6,14:40,1,1,1,1,7,13071,M,"43,4079000","5,2889000",13
202000000092,20,3,6,08:40,1,1,1,1,2,13088,M,"43,3915000","5,2622000",13
202000000093,20,3,6,08:40,1,1,1,1,2,13001,M,"43,5114330","5,4206300",13
202000000094,20,3,7,12:15,1,1,1,1,7,91661,M,"48,6961800","2,2240200",91
202000000095,20,3,7,12:00,1,1,1,1,3,92019,M,"48,7606564","2,2869178",92
202000000096,20,3,7,06:00,3,1,1,1,5,78238,M,"48,9706670","1,8788330",78
202000000097,20,3,6,22:30,3,1,1,1,6,93027,M,"48,9271400","2,4029800",93
202000000098,20,3,6,18:10,2,1,1,1,3,92036,M,"48,9430300","2,2889193",92
202000000099,20,3,6,17:10,1,1,1,1,2,92036,M,"48,9387500","2,3094600",92
202000000100,20,1,1,03:50,5,2,3,1,3,97209,A,"14,6201015"," -61,0781050",972
202000000101,20,1,4,14:15,1,2,2,1,3,92024,M,"48,9017000","2,3148000",92
202000000102,20,3,6,00:00,5,2,6,1,6,98818,C," -22,2501200","166,4515500",988
202000000103,20,3,6,23:10,5,2,2,1,3,98818,C," -22,3029200","166,4450800",988
202000000104,20,3,7,01:35,3,1,1,1,1,97611,Y," -12,7927300","45,1885100",976
202000000105,20,3,6,19:40,4,2,3,2,6,97411,R," -20,8931300","55,4760100",974
202000000106,20,3,5,09:00,1,2,1,1,1,97411,R," -20,9155364","55,4944217",974
202000000107,20,3,5,10:45,1,2,1,1,3,97409,R," -20,9606900","55,6543000",974
202000000108,20,3,7,00:35,5,2,1,1,6,69388,M,"45,7306000","4,8779000",69
202000000109,20,3,6,18:05,2,2,3,1,1,97209,A,"14,6136800"," -61,0701800",972
202000000110,20,2,26,01:55,5,2,2,1,3,69381,M,"45,7662000","4,8380000",69
202000000111,20,3,6,06:10,5,2,1,1,3,69149,M,"45,7198700","4,8106100",69
202000000112,20,3,5,12:15,1,2,9,2,5,69389,M,"45,7756500","4,8026000",69
202000000113,20,2,12,18:35,5,2,1,1,7,69081,M,"45,7874200","4,7788500",69
202000000114,20,3,5,16:50,1,1,3,1,3,97101,A,"16,2591910"," -61,5102600",971
202000000115,20,3,6,21:55,5,2,7,1,3,91570,M,"48,6311960","2,3288340",91
202000000116,20,3,6,11:35,1,2,1,1,7,91549,M,"48,6393490","2,3362480",91
202000000117,20,3,5,10:45,1,2,1,2,6,91692,M,"48,6767180","2,1649400",91
202000000118,20,3,5,18:45,2,2,2,2,3,91377,M,"48,7205000","2,2779900",91
202000000119,20,3,6,17:20,1,2,2,1,3,91687,M,"48,6665500","2,3642200",91
202000000120,20,3,6,08:45,1,2,9,8,3,91174,M,"48,6134950","2,4593190",91
202000000121,20,3,6,05:55,5,2,6,1,3,91174,M,"48,6117400","2,4611900",91
202000000122,20,3,5,20:15,5,2,2,3,3,89387,M,"48,1999800","3,2823200",89
202000000123,20,3,5,16:35,1,1,3,2,3,87065,M,"45,8081600","1,2991000",87
202000000124,20,3,5,17:48,1,2,1,1,3,84007,M,"43,9414000","4,8178400",84
202000000125,20,3,4,14:15,1,1,1,1,1,84007,M,"43,9580700","4,8276400",84
202000000126,20,3,3,18:10,2,2,1,1,3,84007,M,"43,9301800","4,8285400",84
202000000127,20,2,23,17:45,1,2,1,1,6,30351,M,"43,9544400","4,7882700",30
202000000128,20,3,6,13:15,1,2,2,1,1,83137,M,"43,1401600","5,9130900",83
202000000129,20,3,6,07:45,1,2,1,1,6,83069,M,"43,1241000","6,1508000",83
202000000130,20,3,5,15:23,1,2,2,1,6,78646,M,"48,7955300","2,1388400",78
202000000131,20,3,5,13:00,1,1,9,2,3,77118,M,"48,9433300","2,6666300",77
202000000132,20,3,6,19:50,5,2,1,1,6,77284,M,"48,9592500","2,8732400",77
202000000133,20,3,6,19:00,5,2,4,1,2,74218,M,"46,3846240","6,5549495",74
202000000134,20,3,5,13:00,1,2,2,2,3,69290,M,"45,7090400","4,9386600",69
202000000135,20,3,6,12:53,1,2,3,1,3,69264,M,"45,9850000","4,7180300",69
202000000136,20,3,5,10:00,1,2,1,3,2,67482,M,"48,5540774","7,7626633",67
202000000137,20,3,5,17:15,1,2,1,1,6,66136,M,"42,6910000","2,8810500",66
202000000138,20,3,5,13:30,3,1,1,2,7,66136,M,"42,6955600","2,8960700",66
202000000139,20,3,6,08:10,1,2,9,3,3,64260,M,"43,3460100"," -1,7740600",64
202000000140,20,3,4,19:25,5,2,1,2,4,64335,M,"43,3351350"," -0,4569207",64
202000000141,20,3,5,17:00,1,2,4,2,2,63113,M,"45,7841300","3,1091900",63
202000000142,20,3,2,17:40,1,2,1,2,6,60175,M,"49,2491200","2,4715700",60
202000000143,20,3,6,04:00,2,2,1,2,-1,58194,M,"46,9868900","3,1959800",58
202000000144,20,3,5,19:00,2,2,3,2,3,56260,M,"47,6592300"," -2,7748300",56
202000000145,20,3,5,17:00,1,2,1,1,2,56121,M,"47,7637200"," -3,3803600",56
202000000146,20,3,6,15:55,1,2,1,2,6,54265,M,"48,6368430","6,1834620",54
202000000147,20,3,6,07:50,1,2,1,1,6,54547,M,"48,6693780","6,1845661",54
202000000148,20,3,5,12:35,1,2,1,2,6,54547,M,"48,6627327","6,1727052",54
202000000149,20,3,6,08:00,1,2,1,2,2,51454,M,"49,2342409","4,0403540",51
202000000150,20,9,22,10:40,1,1,3,1,3,74081,M,"46,0505690","6,5920970",74
202000000151,20,9,22,14:00,1,1,1,1,5,97607,Y," -12,8505010","45,1751580",976
202000000152,20,9,21,19:00,5,2,1,1,6,97128,A,"16,2527980"," -61,3722650",971
202000000153,20,9,21,19:55,3,1,1,1,6,97134,A,"16,0704136"," -61,7633557",971
202000000154,20,9,21,11:10,1,1,9,1,7,91494,M,"48,6117250","2,3389450",91
202000000155,20,9,21,17:00,1,1,1,1,1,2A163,M,"41,4963320","8,9626980",2A
202000000156,20,9,22,09:45,1,1,1,2,6,34145,M,"43,6897030","4,1592800",34
202000000157,20,9,13,17:00,1,2,1,1,5,83047,M,"43,1190370","6,0673610",83
202000000158,20,9,20,19:15,1,1,1,2,5,83055,M,"43,6244290","6,6931040",83
202000000159,20,9,19,11:30,1,1,1,1,1,06157,M,"43,7591530","7,0763940",06
202000000160,20,9,17,12:00,1,1,1,1,3,71556,M,"46,2787191","4,8025788",71
202000000161,20,9,21,07:30,1,1,3,1,2,67080,M,"48,5559433","7,5273016",67
202000000162,20,9,8,19:45,1,1,1,1,7,57443,M,"49,2163770","6,1144030",57
202000000163,20,9,22,09:20,1,2,4,1,6,74037,M,"46,2085900","6,4049540",74
202000000164,20,9,21,14:20,1,2,6,1,3,73248,M,"45,2756154","6,3554903",73
202000000165,20,9,20,17:00,1,1,1,3,6,38488,M,"45,7335980","5,2970890",38
202000000166,20,9,21,14:45,1,1,1,1,6,35037,M,"48,0593230"," -1,8831490",35
202000000167,20,9,19,19:00,1,1,2,1,3,62460,M,"50,5835430","1,7400080",62
202000000168,20,9,21,13:25,1,1,1,1,6,57226,M,"49,3745000","5,9813000",57
202000000169,20,9,20,19:35,1,1,1,1,4,57343,M,"49,3291600","6,1854300",57
202000000170,20,9,21,18:35,1,1,1,2,6,33281,M,"44,8170600"," -0,6729300",33
202000000171,20,9,21,09:15,1,1,1,1,5,33143,M,"44,9696500"," -0,4360240",33
202000000172,20,9,20,02:10,4,1,1,1,6,59202,M,"50,6765720","2,8594380",59
202000000173,20,9,21,19:10,1,1,1,1,2,91377,M,"48,7251600","2,3000500",91
202000000174,20,9,21,14:14,1,1,1,1,4,94034,M,"48,7592400","2,3253800",94
202000000175,20,9,21,10:30,1,1,1,1,4,91589,M,"48,6785900","2,3357200",91
202000000176,20,9,21,08:30,1,1,1,1,2,91468,M,"48,5755500","2,4655900",91
202000000177,20,9,20,07:50,1,1,1,1,6,78117,M,"48,7874390","2,1475370",78
202000000178,20,9,21,09:20,1,1,1,1,2,94074,M,"48,7654325","2,4586862",94
202000000179,20,9,21,08:40,1,1,1,1,-1,94028,M,"48,7762722","2,4310036",94
202000000180,20,9,18,20:15,5,2,3,1,5,98818,C," -22,2878800","166,4445500",988
202000000181,20,9,20,16:00,1,2,1,1,2,69388,M,"45,7341100","4,8637700",69
202000000182,20,9,20,10:30,1,2,9,1,6,69388,M,"45,7308000","4,8677000",69
202000000183,20,9,20,00:00,5,2,7,1,3,69286,M,"45,8072100","4,9023600",69
202000000184,20,9,20,02:52,5,2,1,8,3,95607,M,"49,0164000","2,2187000",95
202000000185,20,9,20,03:50,5,2,1,8,7,91687,M,"48,6476900","2,3657500",91
202000000186,20,9,19,22:30,5,2,9,1,3,74133,M,"46,1792000","6,1995000",74
202000000187,20,9,20,08:56,1,2,3,2,3,69266,M,"45,7795856","4,8595696",69
202000000188,20,9,20,19:25,1,2,1,1,3,64483,M,"43,3974700"," -1,6386500",64
202000000189,20,9,20,11:50,1,2,1,1,5,64483,M,"43,3737000"," -1,6378600",64
202000000190,20,9,20,04:26,3,1,1,1,3,44109,M,"47,2678600"," -1,5772800",44
202000000191,20,9,20,17:15,1,2,1,7,2,37214,M,"47,3998634","0,6760598",37
202000000192,20,9,20,14:50,1,2,1,1,2,35281,M,"48,0894350"," -1,7061850",35
202000000193,20,9,20,03:00,5,2,2,1,3,33063,M,"44,8583148"," -0,5668694",33
202000000194,20,9,20,15:15,1,1,1,1,2,29232,M,"47,9970700"," -4,0727900",29
202000000195,20,9,20,17:45,1,1,1,1,2,27681,M,"49,0993200","1,5026900",27
202000000196,20,8,28,23:00,5,2,9,1,2,13208,M,"43,2675400","5,3835000",13
202000000197,20,9,20,09:45,1,2,1,8,1,13002,M,"43,3239140","5,4921450",13
202000000198,20,9,20,05:30,3,1,1,8,6,13047,M,"43,5530700","4,9682200",13
202000000199,20,9,19,16:50,1,2,1,2,3,13063,M,"43,5996158","5,0064558",13
202000000200,20,9,19,10:40,1,2,1,1,6,13028,M,"43,1752240","5,6097650",13
202000000201,20,9,17,17:15,1,2,3,1,3,12145,M,"44,0922500","3,0707700",12
202000000202,20,9,20,11:30,1,2,1,3,6,06027,M,"43,6708490","7,1210560",06
202000000203,20,9,20,00:54,5,2,2,1,3,03185,M,"46,3428932","2,6005865",03
202000000204,20,9,18,22:35,5,2,1,1,7,75118,M,"48,9008870","2,3629740",75
202000000205,20,9,18,21:00,5,2,1,1,4,75119,M,"48,8963280","2,3945690",75
202000000206,20,9,18,08:55,1,2,1,1,4,75112,M,"48,8266350","2,3889950",75
202000000207,20,9,20,21:49,5,2,2,1,3,75118,M,"48,8865500","2,3495530",75
202000000208,20,9,20,11:30,1,2,3,1,-1,75118,M,"48,8910090","2,3598700",75
202000000209,20,9,20,01:50,5,2,2,1,6,75118,M,"48,8902230","2,3599180",75
202000000210,20,9,20,02:00,3,2,2,1,-1,75116,M,"48,8731520","2,2844620",75
202000000211,20,9,20,06:45,5,2,3,1,6,75115,M,"48,8574700","2,2910660",75
202000000212,20,9,20,17:40,1,2,1,1,6,75113,M,"48,8339740","2,3611420",75
202000000213,20,9,20,01:30,5,2,2,1,3,75113,M,"48,8221500","2,3526890",75
202000000214,20,9,20,18:50,1,2,7,1,-1,75112,M,"48,8338330","2,4448970",75
202000000215,20,9,20,02:00,5,2,7,1,6,75107,M,"48,8624240","2,3015640",75
202000000216,20,9,20,15:00,1,2,3,1,6,75104,M,"48,8554880","2,3600990",75
202000000217,20,9,20,22:20,5,2,3,1,3,94081,M,"48,7896788","2,3899035",94
202000000218,20,9,20,18:15,1,2,1,1,3,94034,M,"48,7568840","2,3153510",94
202000000219,20,9,20,00:15,5,2,1,1,6,94022,M,"48,7630700","2,4204200",94
202000000220,20,9,20,18:20,1,2,6,1,1,94071,M,"48,7615579","2,5334328",94
202000000221,20,9,20,13:40,1,2,3,1,3,94075,M,"48,7274700","2,5310600",94
202000000222,20,9,20,20:30,5,2,1,1,6,93072,M,"48,9519253","2,3849984",93
202000000223,20,9,20,15:30,1,2,3,1,5,93014,M,"48,9125726","2,5410795",93
202000000224,20,9,20,20:40,5,2,2,1,3,93005,M,"48,9432166","2,4999091",93
202000000225,20,9,20,17:00,1,2,6,1,3,92040,M,"48,8201781","2,2429183",92
202000000226,20,9,20,02:22,5,2,2,1,3,92025,M,"48,9133000","2,2306410",92
202000000227,20,9,20,06:35,2,2,1,8,7,92060,M,"48,7766500","2,2570300",92
202000000228,20,9,19,20:45,5,2,2,2,-1,92007,M,"48,7962203","2,3217228",92
202000000229,20,9,21,16:38,1,1,3,1,1,08062,M,"49,5399700","4,3805840",08
202000000230,20,9,21,08:35,1,2,1,1,3,31547,M,"43,4989860","1,3169490",31
202000000231,20,9,21,05:10,3,1,1,1,1,86170,M,"46,3102959","0,8295871",86
202000000232,20,9,20,06:00,3,1,1,1,2,44103,M,"47,3241850"," -2,1554340",44
202000000233,20,9,20,20:10,3,1,1,1,1,57529,M,"49,4404290","6,0305610",57
202000000234,20,9,20,20:15,5,2,3,1,2,57390,M,"49,0055080","7,3786450",57
202000000235,20,9,21,05:26,3,1,3,1,3,57043,M,"49,2555410","6,2009080",57
202000000236,20,9,20,18:00,1,1,1,1,3,95352,M,"49,1041770","2,3941290",95
202000000237,20,9,19,15:00,1,2,3,1,-1,62773,M,"50,6388160","1,7431366",62
202000000238,20,9,20,11:40,1,1,1,8,7,19068,M,"45,1781040","1,6578200",19
202000000239,20,8,16,00:30,3,1,1,3,6,56177,M,"47,7702000"," -3,0674100",56
202000000240,20,9,20,15:00,1,1,2,1,3,56123,M,"47,6804650"," -2,3463750",56
202000000241,20,9,21,07:10,2,1,1,5,1,76441,M,"49,9688130","1,5695210",76
202000000242,20,9,20,13:00,1,2,1,1,7,65362,M,"42,9583500"," -0,0776660",65
202000000243,20,9,21,13:45,1,2,1,2,3,33236,M,"44,7248500"," -1,2193100",33
202000000244,20,9,16,17:00,1,2,1,1,6,89368,M,"47,6145820","3,1982660",89
202000000245,20,9,20,21:45,3,2,1,1,6,63022,M,"45,4439640","3,3024640",63
202000000246,20,9,21,15:00,1,1,9,2,3,63218,M,"45,3920800","3,6857300",63
202000000247,20,9,12,14:50,1,1,1,1,6,61007,M,"48,7990050"," -0,4304950",61
202000000248,20,9,20,15:42,1,1,1,1,6,61028,M,"48,8340740"," -0,2360770",61
202000000249,20,9,11,21:10,3,1,1,1,6,49341,M,"47,2186060"," -0,0257060",49
202000000250,20,9,21,09:15,1,1,1,2,6,42026,M,"46,1740230","4,0767970",42
202000000251,20,9,18,17:10,1,2,1,1,6,86032,M,"46,6793120","0,5638690",86
202000000252,20,9,20,09:15,1,1,1,9,6,34080,M,"43,5798950","3,0233440",34
202000000253,20,9,20,19:58,2,2,1,2,6,44156,M,"46,9546000"," -1,6054040",44
202000000254,20,9,20,12:30,1,1,1,1,6,44096,M,"47,4171486"," -1,2480014",44
202000000255,20,9,20,09:10,1,2,3,1,1,29146,M,"47,9062785"," -3,8388665",29
202000000256,20,9,20,15:20,1,1,1,1,1,29190,M,"48,3340405"," -4,7713232",29
202000000257,20,9,11,05:20,3,1,1,5,1,13027,M,"43,8796370","4,8412640",13
202000000258,20,9,20,19:30,2,1,1,1,6,02757,M,"49,9264720","3,5504560",02
202000000259,20,9,21,07:00,2,1,1,1,6,03123,M,"46,4416036","2,6518389",03
202000000260,20,9,21,03:40,3,1,1,1,6,54162,M,"48,6561033","5,8416152",54
202000000261,20,9,21,19:50,2,1,6,1,3,60086,M,"49,1760930","2,3527690",60
202000000262,20,9,20,09:10,1,1,2,2,3,43124,M,"45,0893570","3,7528560",43
202000000263,20,9,21,07:30,1,1,3,5,7,53007,M,"48,0723260"," -0,6521680",53
202000000264,20,9,21,07:45,1,1,1,7,2,21534,M,"47,0408670","4,9109060",21
202000000265,20,9,17,16:30,1,2,1,1,6,40245,M,"44,0321680"," -0,3243670",40
202000000266,20,9,20,10:45,1,2,6,1,1,27467,M,"49,3526340","0,5137560",27
202000000267,20,9,20,19:00,1,1,1,1,7,52421,M,"48,1807530","5,1515470",52
202000000268,20,9,20,12:22,1,1,1,1,7,88442,M,"48,0346360","6,7958110",88
202000000269,20,9,21,09:20,1,1,1,1,6,49092,M,"47,2126090"," -0,7641290",49
202000000270,20,9,20,20:15,3,1,1,2,6,69086,M,"45,8519550","4,6686530",69
202000000271,20,9,21,17:15,1,1,1,1,3,57342,M,"48,6449260","6,9193700",57
202000000272,20,9,21,00:15,3,1,1,1,1,17283,M,"45,5730620"," -0,5887130",17
202000000273,20,9,21,15:40,1,1,1,1,7,38173,M,"45,0423260","6,1232040",38
202000000274,20,9,20,19:00,1,2,1,1,6,68278,M,"47,7535930","7,3830650",68
202000000275,20,9,21,16:00,1,2,1,1,7,97415,R," -21,0385200","55,2236420",974
202000000276,20,9,18,13:35,1,2,2,1,5,97125,A,"16,2604000"," -61,2758800",971
202000000277,20,8,29,09:30,1,1,3,1,6,97125,A,"16,2732692"," -61,2786645",971
202000000278,20,9,20,19:30,2,1,1,1,7,29233,M,"47,8465600"," -3,5446360",29
202000000279,20,9,20,04:00,3,1,1,1,2,45278,M,"47,8052000","2,8305670",45
202000000280,20,9,20,00:15,5,1,1,8,1,83065,M,"43,2579990","6,5947200",83
202000000281,20,9,5,12:42,1,1,9,1,3,13004,M,"43,6084100","4,4776800",13
202000000282,20,9,20,19:45,3,1,3,1,3,13096,M,"43,4983090","4,3825790",13
202000000283,20,9,18,09:50,1,2,1,1,2,39097,M,"46,7479550","5,9186540",39
202000000284,20,9,21,16:05,1,2,1,1,6,57433,M,"49,2003270","6,1600150",57
202000000285,20,9,21,17:25,1,2,1,1,6,42147,M,"45,6066560","4,0559720",42
202000000286,20,9,20,21:08,3,1,1,1,6,38051,M,"45,3297780","4,8874300",38
202000000287,20,9,20,20:55,5,2,2,8,1,69291,M,"45,6332970","4,8596770",69
202000000288,20,9,20,19:45,5,2,8,2,3,69125,M,"45,8727500","4,7247500",69
202000000289,20,9,20,11:00,1,1,2,1,2,85227,M,"46,4785550"," -0,6618220",85
202000000290,20,9,21,17:35,1,1,3,1,1,85178,M,"46,7778220"," -1,4878980",85
202000000291,20,9,21,07:30,2,2,1,1,6,50099,M,"49,3135340"," -1,2586050",50
202000000292,20,9,16,12:45,1,2,1,1,6,14068,M,"49,2300660"," -0,3310380",14
202000000293,20,9,17,13:45,1,1,1,1,6,29144,M,"48,4368030"," -4,1638610",29
202000000294,20,9,20,17:45,1,1,1,1,6,27280,M,"49,0323960","1,2687060",27
202000000295,20,9,21,14:20,1,2,1,1,3,60395,M,"49,2463534","2,1336089",60
202000000296,20,9,21,15:20,1,2,1,1,6,80625,M,"49,7155936","2,5395314",80
202000000297,20,9,19,22:50,5,2,1,1,3,59011,M,"50,5280070","2,9439500",59
202000000298,20,9,19,21:08,5,1,1,2,5,13055,M,"43,2954000","5,4243000",13
202000000299,20,9,19,20:10,3,1,9,8,2,42110,M,"45,4949200","4,5547500",42
202000000300,20,9,20,17:05,1,1,1,1,7,91312,M,"48,7330700","2,2337000",91
202000000301,20,6,24,12:00,1,2,2,1,3,35238,M,"48,0846000"," -1,6607300",35
202000000302,20,6,24,12:45,1,1,1,1,4,33013,M,"44,8664200"," -0,4868800",33
202000000303,20,6,24,07:30,1,2,3,1,3,33318,M,"44,8024600"," -0,6631900",33
202000000304,20,6,15,16:41,1,2,9,1,6,33522,M,"44,8068500"," -0,5742300",33
202000000305,20,6,23,14:45,1,2,1,1,2,31555,M,"43,5714100","1,4539000",31
202000000306,20,6,22,11:50,1,2,2,1,3,30189,M,"43,8358000","4,3769000",30
